Brand,Nama,Harga,Jumlah Review,Variasi,Foto Produk
Rare Beauty,Soft Pinch Luminous Powder Blush,Rp 559.000,(4314),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_8_fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f_1710315488.png
DIOR,Addict Lip Tint,Rp 720.000,(1343),13 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901601429-Dior-Addict-No-Transfer-Lip-Tint-351-Natural-Nude_0796126c3e1ffa14bbc89dc730828a502ed08853_1666944857.png
Rare Beauty,Soft Pinch Liquid Blush,Rp 530.000,(29751),12 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122904929-Rare-Beauty-Soft-Pinch-Liquid-Blush-Hope_c514c77b227166606d8699dc88f0291bbc4be175_1680245801.png
Bobbi Brown,Vitamin Enriched Face Base - Moisturizer and Primer,Rp 1.200.000,(5645),3 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_ProductClean_716170027456-BOBBI-BROWN-Vitamin-Enriched-Face-Base---Moisturizer-and-Prime_dfa38d8f2564f2e7f016867555851255a5f60c90_1627052250.png
Rare Beauty,Soft Pinch Dewy Liquid Blush Mini (Limited Edition),Rp 330.000,(2346),2 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122906503-Rare-Beauty-Soft-Pinch-Dewy-Liquid-Bl_7425c28a7a61bff2319a6bea6eb14f8e267799ba_1749697644.png
Rare Beauty,Mini Soft Pinch Tinted Lip Oil,Rp 299.000,(72),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122908439-RARE-BEAUTY-Mini-Soft-Pinch-Tinted-Li_76b89fc798c100b01fb355725df5a5c04cdb34af_1756954375.png
Rare Beauty,Mini Soft Pinch Liquid Blush,Rp 330.000,(550),4 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122908682-RARE-BEAUTY-Mini-Soft-Pinch-Liquid-Bl_b70645dcf3ef149cb3f4183bfa70a1f094f16618_1756881545.png
DIOR,Rouge Dior Lipstick,Rp 800.000,(1103),36 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_3348901738705_707_WITH_SHADOW_38a862236345dbee4161922f88d245750b1ad3e1_1722494918.png
NARS,Radiant Creamy Concealer,Rp 550.000,(12459),9 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_607845012320-Nars-Radiant-Creamy-Concealer-Vanilla---Tiny-cast-of-pink-for-the-f_8481283cfd4714e59a5fe9bd3f3aea330fd4808a_1603335796.png
DIOR,Backstage Rosy Glow Blush,Rp 800.000,(816),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901770491-DIOR-Backstage-Rosy-Glow-Blush-001-P_63a06d5ce1d12bd567541c09f5184fd4715a8c81_1749780497.png
